,comment,date,user
28,"These ceo's are their worst own enemy. Never know when to report a stellar quarter than keep their mouths shut! Is it really that difficult??? duh!!!!

...Shares of Texas Instruments rallied after the numbers, but lost ground during a later conference call with analysts. Chief Financial Officer Rafael Lizardi said revenue declines are the result of customers cutting back on orders after a prolonged period of building up stocks of components. Typically such a period of growth is followed by four or five quarters of declines, he said. He stressed that was historical perspective rather than a prediction...
More
",11 days ago,whooz yor daddy
29,"Below $98.00 tomorrow. It is so hyped FOR NO REASON.
",11 days ago,Josh
30,"Guess stocks don't grow to the moon...even with massive buybacks!
",11 days ago,kevin
31,"Great Quater .. A beat is a beat plus forecast in line .. +$10 tomorrow and 150 by end of month
",11 days ago,StarLord
32,"OUCH...red now!!!!!
",11 days ago,kevin
33,"Almost back to even....wants to go red!
",11 days ago,kevin
34,"company with negative growth trading at 20+ PE. Never seen such absurd market. Out of reality. There are company like NWL, BBBY, TEVA .. trade at &lt;10 PE because they have little negative growth but on other hand Stock trade all time high even when they have negative earnig. what a manipulative market.
",11 days ago,Vs
35,"Shorting after hours. Result isn't great. it declining. Forecast also not so great. So Stock reaction is pre-planned. trap as many as they can at highest level.
",11 days ago,Vs
36,"Now that we've broken above this year long consolidation, next stop is likely around 150 before the next pullback.
",11 days ago,GFA
37,"Excellent Quarter
",11 days ago,StarLord
38,"Here we go the company reports BOGUS ER and the stock is up.
",11 days ago,Kevin
39,"Seriously close now!
",17 days ago,Omar
40,"don't sell now my peoples. getting awfully close to 119. Get through there and we may be making a lot more money. In Big Joe's opinion.
",22 days ago,Joe
41,"Hey guys, for all if you that have made a good bit here.... remember Zack's says this is a strong sell! So what are u doing making money??? sell now because Zack's told u too Lol
",29 days ago,Omar
42,"The Chartists say ""if we can get past 119, then 130 likely relatively soon after.""
",29 days ago,Joe
43,"love TXN, it's great shareholder friendly management and it's growing dividends.
",last month,GFA
44,"This stock will make us all money. Damn good company.
",last month,Omar
45,"Here goes Stacey Rasgon with his nonsensical call on TXN and ADI. Wish he'd read what other late cycle reports from the semi space say about H2. But he's been wrong before like the Qualcomm Broadcom deal.
",last month,R
46,"Just wanted to say I have made a good bit on TXN since I bought at end of last year, and it has a Strong Sell rating Lol. Yahoo!
",2 months ago,Omar
