,comment,date,user
47,"THERE WILL BE NO DEAL if China has a little honor as country and if The Chinese Government respects to its nation.
Same Trade BS headlines to pump the stock prices. How many times the market can ""rally"" on a trade ""hopes""? 100, 200, 300 times?? At first the deal was about trade deficit, then Trump and the US government see that Chinese Government is easygoing and trying to close the deal, Trump and his troll buddies came up with long unacceptable wishlist to HUMILIATE China and Chinese people. I hope China will have a national honor and will reject the deal and will destroy US.
$AMD $NVDA $AMZN $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $AAPL $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $WMT $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $KHC
More
",2 months ago,Sean
48,"Analysts estimates are still too low for TXN for the next couple years. I see revenue growth in the single digits, while EPS to grow in the 15% range as 5G shall act as a nice tailwind in the automotive and industrial space. I think the biggest beneficiary of 5G will be these 2 sectors along with cloud. Not sure if T.I. has any products in the pipeline for cloud though...
",3 months ago,GFA
49,"$TWLO will FALL by 50%! This BUBBLE is INSANELY OVERVALUED and OVERBOUGHT! Massive Cash burning BUBBLE backed by pure speculations! Short and make killing! $TWLO is STRONG SELL! It will FALL by 50% at least!
$AMD $NVDA $AMZN $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $AAPL $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $WMT $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA
",3 months ago,Alfred
50,"STOCK CHASERS WILL BURN! NO MONEY LEFT TO PUMP THE STOCK PRICE But FED is printing NEW Money to pump the stock prices!
The problem is VALUATION, Not the Trade War.
US STOCKS ARE TRADING AT PEAKED PRICES!!!! The Data shows that the US economy is slowing down, GDP growth is going to turn to negative. As you've seen in the latest quarter, US corporate earnings are declining. Meanwhile US national Debt is hitting 22T new all time highs every day. However US Stock prices keep getting pumped since 2008 non-stop only because of Quantitative Easing. People started to see US Stock Market as Free source of money! US Stock prices went up parabolically, but the problem is NOW US STOCK PRICES HAVE PEAKED! US market is INSANELY OVERVALUED and OVERBOUGHT! Valuations are ABSURD and US market is trading as Pyramid Scheme! 99.99% of all publicly trading US companies do not make money! Stock buyers aka Gamblers are buying extremely overvalued US stocks at PEAKED prices to GAMBLE. People forgot what happened to PEAK buyers in 2000 and 2008! Stock Buyers will LOSE EVERYTHING again! Some of the buyers haven't seen RECESSION and they think stock prices will keep going up forever. Upcoming RECESSION will be a good lesson for stock GAMBLERS! $AMD $AMZN $NFLX $TSLA $SNAP $TWTR $ROKU $SQ $SHOP $NVDA $MU $AAPL $GOOG $MSFT $CSCO $MA $V $WFC $BAC $T $GM $QCOM $BA $NKE $PFE $AVGO $JNJ $TWLO $CRM $ADBE $CAT $X $IBM $INTC $MMM $DB $V $JPM $GS $MS $MA $AMAT $EBAY $GM $TXN $F $NXPI $GE $BA $LRXC $BABA $BBBY $BIDU $BZUN $AVGO $SBUX $ATVI $TTWO
US Market Makers are using spoofing and auto trade strategies to pump the stock prices! Do not buy or hold US stocks. Stock prices HAVE PEAKED! See trading volume! It is SUPER LOW!
CHASERS WILL BURN! There is a HUGE ROOM TO FALL, but no upside left.
More
The Stock Market Crash of 2008.
The Stock Market Crash of 2008.
www.youtube.com
",3 months ago,US Equity BUBBLE 2019
51,"So growth worries, and bad news about trade deal have been forgotten already?! BUBBLE continues!
US Stock PYRAMID Continues!
$AMD $AMZN $NFLX $TSLA $SNAP $TWTR $ROKU $SQ $SHOP $NVDA $MU $AAPL $GOOG $MSFT $CSCO $MA $V $WFC $BAC $T $GM $QCOM $BA $NKE $PFE $AVGO $JNJ $TWLO $CRM $ADBE $CAT $X $IBM $INTC $MMM $DB $V $JPM $GS $MS $MA $AMAT $EBAY $GM $TXN $F $NXPI $GE $BA $LRXC $BABA $BBBY $BIDU $BZUN $AVGO $SBUX $MCD $WMT $TGT
",3 months ago,David
52,"If we all just block the couple of posters that are wasting everyones time this space will be more useful.
",3 months ago,Al
53,"So TXN has a strong sell rating, why is it still going up?? Lol
",3 months ago,Omar
54,"This space is being ruined by a couple posters.
",3 months ago,"Bob, Texas"
55,"They will make some cash on selling facility to Diod. Should see a bump in a few days.
",3 months ago,Omar
56,"STOCK CHASERS WILL BURN! NO MONEY LEFT TO PUMP THE STOCK PRICE But FED is printing NEW Money to pump the stock prices!
The problem is VALUATION, Not the Trade War.
US STOCKS ARE TRADING AT PEAKED PRICES!!!! The Data shows that the US economy is slowing down, GDP growth is going to turn to negative. As you've seen in the latest quarter, US corporate earnings are declining. Meanwhile US national Debt is hitting 22T new all time highs every day. However US Stock prices keep getting pumped since 2008 non-stop only because of Quantitative Easing. People started to see US Stock Market as Free source of money! US Stock prices went up parabolically, but the problem is NOW US STOCK PRICES HAVE PEAKED! US market is INSANELY OVERVALUED and OVERBOUGHT! Valuations are ABSURD and US market is trading as Pyramid Scheme! 99.99% of all publicly trading US companies do not make money! Stock buyers aka Gamblers are buying extremely overvalued US stocks at PEAKED prices to GAMBLE. People forgot what happened to PEAK buyers in 2000 and 2008! Stock Buyers will LOSE EVERYTHING again! Some of the buyers haven't seen RECESSION and they think stock prices will keep going up forever. Upcoming RECESSION will be a good lesson for stock GAMBLERS! $AMD $AMZN $NFLX $TSLA $SNAP $TWTR $ROKU $SQ $SHOP $NVDA $MU $AAPL $GOOG $MSFT $CSCO $MA $V $WFC $BAC $T $GM $QCOM $BA $NKE $PFE $AVGO $JNJ $TWLO $CRM $ADBE $CAT $X $IBM $INTC $MMM $DB $V $JPM $GS $MS $MA $AMAT $EBAY $GM $TXN $F $NXPI $GE $BA $LRXC $BABA $BBBY $BIDU $BZUN $AVGO $SBUX
US Market Makers are using spoofing and auto trade strategies to pump the stock prices! Do not buy or hold US stocks. Stock prices HAVE PEAKED! See trading volume! It is SUPER LOW!
CHASERS WILL BURN! There is a HUGE ROOM TO FALL, but no upside left.
More
The Stock Market Crash of 2008.
The Stock Market Crash of 2008.
www.youtube.com
",3 months ago,Gabriel
57,"STOCK CHASERS WILL BURN! NO MONEY LEFT TO PUMP THE STOCK PRICE But FED is printing NEW Money to pump the stock prices!
The problem is VALUATION, Not the Trade War.
US STOCKS ARE TRADING AT PEAKED PRICES!!!! The Data shows that the US economy is slowing down, GDP growth is going to turn to negative. As you've seen in the latest quarter, US corporate earnings are declining. Meanwhile US national Debt is hitting 22T new all time highs every day. However US Stock prices keep getting pumped since 2008 non-stop only because of Quantitative Easing. People started to see US Stock Market as Free source of money! US Stock prices went up parabolically, but the problem is NOW US STOCK PRICES HAVE PEAKED! US market is INSANELY OVERVALUED and OVERBOUGHT! Valuations are ABSURD and US market is trading as Pyramid Scheme! 99.99% of all publicly trading US companies do not make money! Stock buyers aka Gamblers are buying extremely overvalued US stocks at PEAKED prices to GAMBLE. People forgot what happened to PEAK buyers in 2000 and 2008! Stock Buyers will LOSE EVERYTHING again! Some of the buyers haven't seen RECESSION and they think stock prices will keep going up forever. Upcoming RECESSION will be a good lesson for stock GAMBLERS! $AMD $AMZN $NFLX $TSLA $SNAP $TWTR $ROKU $SQ $SHOP $NVDA $MU $AAPL $GOOG $MSFT $CSCO $MA $V $WFC $BAC $T $GM $QCOM $BA $NKE $PFE $AVGO $JNJ $TWLO $CRM $ADBE $CAT $X $IBM $INTC $MMM $DB $V $JPM $GS $MS $MA $AMAT $EBAY $GM $TXN $F $NXPI $GE $BA $LRXC $BABA $BBBY $BIDU $BZUN $AVGO $SBUX
US Market Makers are using spoofing and auto trade strategies to pump the stock prices! Do not buy or hold US stocks. Stock prices HAVE PEAKED! See trading volume! It is SUPER LOW!
CHASERS WILL BURN! There is a HUGE ROOM TO FALL, but no upside left.
More
The Stock Market Crash of 2008.
The Stock Market Crash of 2008.
www.youtube.com
",3 months ago,Rocky
58,"TXN with older product trading at premium while $NVDA with newer technology at discount. Sure downturn at NVDA seems worst but TXN only advantage right now is Smart Speaker price war between Amazon and Google and chinnese makers.

This flooding market with smart speaker which required quite a bit Analog Chips. But How sustain those market is. I really think people buying because how cheap they get sold and not because they think Home automation is way to go. Infact many don't want to have it running while they have family time and discussing stuff. Also people don't understand what would happen if malware take over your smart speaker. Both Amazon and Google seems build on top of Android OS and it's open source.

I think market overpricing this. And it's likely classic pump and dump. We just don't know when dump will start. May be AMD earning will trigger that.
More
",3 months ago,Vs
59,"EX DIVIDEND jAN 30TH PAYMENT ON FEB 12TH...WILL IT HOLD?
",3 months ago,MARK
60,"After not so good earning I doubt anyone paying this much other than short who don't want to pay dividend. I will wait until may be 85 to go long. I think if Semi continue weak this can even go 60 so I will start small.
",3 months ago,Vs
61,"$TXN can buy $HIMX for $8B.
",3 months ago,Mr President
62,"$NVDA has lowered the guidance that has lowered sharply before. $NVDA is definitely going to double digits! DO NOT BUY!!! SELL $MU $AMD $AMAT $INTC $LRCX $STM $TXN
",3 months ago,Jared
63,"$NVDA has lowered the guidance that has lowered sharply before. $NVDA is definitely going to double digits! DO NOT BUY!!! SELL $MU $AMD $AMAT $INTC $LRCX $STM $TXN and all these BUBBLES!!!!!
",3 months ago,US EQUITY BUBBLE
64,"We are getting a Cahl-que-la-tah!
",3 months ago,PM
65,"No fewer than 4 well known analysts cut their price targets on TXN yesterday. These price cuts are 12 month price targets, and in a few cases are less than where TXN is currently trading! Does this make any sense?
",3 months ago,Heather
66,"$AMD will FALL by 50-60% after ER! SELL CHIP BUBBLES before it is too late: $AMD $NVDA $MU $AMAT $LRCX $INTC $TXN
",3 months ago,Jared
67,"Now Intel also have weak result. Market still going to keep inflating and rewarding bad result? I sold TXN after hours and was very surprise to see today's price action.

I think this is pre-planned move by big player. Only thing we don't know :- Are they genuine at buying or pump and dump since Any stock raise, People following like Goats thinking it's easiest money ever.
",3 months ago,Vs
68,"$TXN $LRCX and $IBM reported BOGUS ER numbers to pump their stock prices.
",3 months ago,EQUITY BUBBLE 2019
69,"Way to go INTC, tank the semis and the Nasdaq tomorrow.
",3 months ago,Heather
70,"Chasers will BURN!
",3 months ago,RECESSION 2019
71,"TXN's earnings report was horrible. They missed on revenue, and warned on their guidance. And yet, the stock is up 7%. This is comical. This is obviously short covering, because who would buy this with all the uncertainty out there?
",3 months ago,Heather
72,"Analyst cutting price and yet stock gone up. so it's all driven by big powerful people. They decide what happen to stock price and we all puppet here.
",3 months ago,Vs
73,"someone pumping to dump...never buy call or put options..if you cant move the stock..90 soon
",3 months ago,JKinvestment
74,"BUY all stocks that miss earnings - seems to be the mantra on the street now for weeks
",3 months ago,Mark
75,"Revenue missed = tank tomorrow.
",3 months ago,Clotheless Emperor
76,"wow, that report exceeded my expectations significantly!!!
",3 months ago,Rollover
77,"tech stocks looking for idiots to buy in A.h at nose bleed price, on declining earnings. sold to you
",3 months ago,Mark
78,"Talk of same old stuff in conference call. I exit my small position in after hours.
",3 months ago,Vs
79,"should be $90 Ugly guidance...I got lucky I bought 89 less than a month ago and sell 97 AH. Thanks..shorties
",3 months ago,JKinvestment
